ID,ImageLabel,voiceLabel,combineLabel
300,2,2,2
301,2,2,2
302,2,2,2
303,1,2,2
304,2,2,2
305,2,2,2
306,2,2,2
307,2,2,2
308,2,2,2
309,2,2,2
310,2,2,2
311,2,2,2
312,2,2,2
313,2,2,2
314,2,2,2
315,2,2,2
316,2,2,2
317,2,2,2
318,2,2,2
319,2,2,2
320,2,2,2
321,2,2,2
322,2,2,2
323,2,2,2
324,2,2,2
325,2,2,2
326,2,2,2
327,2,2,2
328,2,2,2
329,2,2,2
330,2,2,2
331,2,2,2
332,2,2,2
333,2,2,2
334,0,2,2
335,2,2,2
336,2,2,2
337,2,2,2
338,2,2,2
339,2,2,2
340,0,2,2
341,2,2,2
342,0,2,2
343,2,3,2
344,2,2,2
345,2,2,2
346,2,2,2
347,0,2,2
348,2,2,2
349,2,2,2
350,2,2,2
351,2,0,0
352,0,0,0
353,0,0,0
354,0,0,0
355,2,0,0
356,2,0,0
357,0,0,0
358,2,0,0
359,2,0,0
360,2,0,0
361,0,0,0
362,2,2,2
363,2,0,0
364,0,2,2
365,2,2,2
366,0,0,0
367,2,0,0
368,0,0,0
369,0,0,0
370,0,0,0
371,0,0,0
372,0,0,0
373,0,0,0
374,2,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,0,3,3
379,2,2,2
380,0,3,2
381,0,2,2
382,0,2,2
383,0,3,2
384,0,2,2
385,0,2,2
386,0,2,2
387,0,2,2
388,2,2,2
389,0,2,2
390,0,2,2
391,0,0,0
392,0,0,0
393,0,0,0
394,0,0,0
395,0,0,0
396,2,0,0
397,0,0,0
398,2,2,2
399,0,2,2
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0,0,0
405,0,2,2
406,0,0,0
407,2,0,0
408,0,0,0
409,0,2,2
410,2,0,0
411,0,0,0
412,0,2,0
413,0,0,0
414,0,2,2
415,0,0,0
416,0,0,0
417,2,0,0
418,2,0,0
419,0,0,0
420,2,2,2
421,2,2,2
422,2,0,2
423,3,2,2
424,2,2,2
425,2,2,2
426,2,2,2
427,2,2,2
428,2,2,2
429,2,2,2
430,2,2,2
431,2,2,2
432,2,2,2
433,2,2,2
434,2,2,2
435,2,2,2
436,3,2,2
437,2,2,2
438,3,2,2
439,3,2,2
440,2,2,2
441,2,2,2
442,2,2,2
443,2,2,2
444,2,2,2
445,2,2,2
446,2,2,2
447,2,0,2
448,2,2,2
449,2,2,2
450,2,2,2
451,2,2,2
452,2,2,2
453,2,2,2
454,2,2,2
455,2,2,2
456,2,2,2
457,2,2,2
458,2,2,2
459,2,2,2
460,2,2,2
461,2,2,2
462,2,2,2
463,2,2,2
464,2,2,2
465,2,2,2
466,2,2,2
467,2,3,2
468,2,2,2
469,1,2,2
470,2,2,2
471,2,2,2
472,2,2,2
473,2,2,2
474,2,2,2
475,2,2,2
476,2,2,2
477,2,2,2
478,2,2,2
479,2,2,2
480,2,2,2
481,2,2,2
482,2,2,2
483,2,2,2
484,2,2,2
